iso_code,continent,location,date,population
AFG,Asia,Afghanistan,20201127,38928341
AFG,Asia,Afghanistan,20201128,38928341
AFG,Asia,Afghanistan,20201129,38928341
AFG,Asia,Afghanistan,20201130,38928341
AFG,Asia,Afghanistan,20201201,38928341
AFG,Asia,Afghanistan,20201202,38928341
AFG,Asia,Afghanistan,20201203,38928341
AFG,Asia,Afghanistan,20201204,38928341
AFG,Asia,Afghanistan,20201205,38928341
AFG,Asia,Afghanistan,20201206,38928341
AFG,Asia,Afghanistan,20201207,38928341
AFG,Asia,Afghanistan,20201208,38928341
AFG,Asia,Afghanistan,20201209,38928341
AFG,Asia,Afghanistan,20201210,38928341
AFG,Asia,Afghanistan,20201211,38928341
AFG,Asia,Afghanistan,20201212,38928341
AFG,Asia,Afghanistan,20201213,38928341
AFG,Asia,Afghanistan,20201214,38928341
AFG,Asia,Afghanistan,20201215,38928341
AFG,Asia,Afghanistan,20201216,38928341
AFG,Asia,Afghanistan,20201217,38928341
AFG,Asia,Afghanistan,20201218,38928341
AFG,Asia,Afghanistan,20201219,38928341
AFG,Asia,Afghanistan,20201220,38928341
AFG,Asia,Afghanistan,20201221,38928341
AFG,Asia,Afghanistan,20201222,38928341
AFG,Asia,Afghanistan,20201223,38928341
AFG,Asia,Afghanistan,20201224,38928341
AFG,Asia,Afghanistan,20201225,38928341
AFG,Asia,Afghanistan,20201226,38928341
AFG,Asia,Afghanistan,20201227,38928341
AFG,Asia,Afghanistan,20201228,38928341
AFG,Asia,Afghanistan,20201229,38928341
AFG,Asia,Afghanistan,20201230,38928341
AFG,Asia,Afghanistan,20201231,38928341
AFG,Asia,Afghanistan,20210101,38928341
AFG,Asia,Afghanistan,20210102,38928341
AFG,Asia,Afghanistan,20210103,38928341
AFG,Asia,Afghanistan,20210104,38928341
AFG,Asia,Afghanistan,20210105,38928341
AFG,Asia,Afghanistan,20210106,38928341
AFG,Asia,Afghanistan,20210107,38928341
AFG,Asia,Afghanistan,20210108,38928341
AFG,Asia,Afghanistan,20210109,38928341
AFG,Asia,Afghanistan,20210110,38928341
AFG,Asia,Afghanistan,20210111,38928341
AFG,Asia,Afghanistan,20210112,38928341
AFG,Asia,Afghanistan,20210113,38928341
AFG,Asia,Afghanistan,20210114,38928341
AFG,Asia,Afghanistan,20210115,38928341
AFG,Asia,Afghanistan,20210116,38928341
AFG,Asia,Afghanistan,20210117,38928341
AFG,Asia,Afghanistan,20210118,38928341
AFG,Asia,Afghanistan,20210119,38928341
AFG,Asia,Afghanistan,20210120,38928341
AFG,Asia,Afghanistan,20210121,38928341
AFG,Asia,Afghanistan,20210122,38928341
AFG,Asia,Afghanistan,20210123,38928341
AFG,Asia,Afghanistan,20210124,38928341
AFG,Asia,Afghanistan,20210125,38928341
AFG,Asia,Afghanistan,20210126,38928341
AFG,Asia,Afghanistan,20210127,38928341
AFG,Asia,Afghanistan,20210128,38928341
AFG,Asia,Afghanistan,20210129,38928341
AFG,Asia,Afghanistan,20210130,38928341
AFG,Asia,Afghanistan,20210131,38928341
AFG,Asia,Afghanistan,20210201,38928341
AFG,Asia,Afghanistan,20210202,38928341
AFG,Asia,Afghanistan,20210203,38928341
AFG,Asia,Afghanistan,20210204,38928341
AFG,Asia,Afghanistan,20210205,38928341
AFG,Asia,Afghanistan,20210206,38928341
AFG,Asia,Afghanistan,20210207,38928341
AFG,Asia,Afghanistan,20210208,38928341
AFG,Asia,Afghanistan,20210209,38928341
AFG,Asia,Afghanistan,20210210,38928341
AFG,Asia,Afghanistan,20210211,38928341
AFG,Asia,Afghanistan,20210212,38928341
AFG,Asia,Afghanistan,20210213,38928341
AFG,Asia,Afghanistan,20210214,38928341
AFG,Asia,Afghanistan,20210215,38928341
AFG,Asia,Afghanistan,20210216,38928341
AFG,Asia,Afghanistan,20210217,38928341
AFG,Asia,Afghanistan,20210218,38928341
AFG,Asia,Afghanistan,20210219,38928341
AFG,Asia,Afghanistan,20210220,38928341
AFG,Asia,Afghanistan,20210221,38928341
AFG,Asia,Afghanistan,20210222,38928341
AFG,Asia,Afghanistan,20210223,38928341
AFG,Asia,Afghanistan,20210224,38928341
AFG,Asia,Afghanistan,20210225,38928341
AFG,Asia,Afghanistan,20210226,38928341
AFG,Asia,Afghanistan,20210227,38928341
AFG,Asia,Afghanistan,20210228,38928341
AFG,Asia,Afghanistan,20210301,38928341
AFG,Asia,Afghanistan,20210302,38928341
AFG,Asia,Afghanistan,20210303,38928341
AFG,Asia,Afghanistan,20210304,38928341
AFG,Asia,Afghanistan,20210305,38928341
AFG,Asia,Afghanistan,20210306,38928341
AFG,Asia,Afghanistan,20210307,38928341
AFG,Asia,Afghanistan,20210308,38928341
AFG,Asia,Afghanistan,20210309,38928341
AFG,Asia,Afghanistan,20210310,38928341
AFG,Asia,Afghanistan,20210311,38928341
AFG,Asia,Afghanistan,20210312,38928341
AFG,Asia,Afghanistan,20210313,38928341
